City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tangalle,6.024,80.7911,25.51,85,95,0.53,LK,1699909989
83,blackmans bay,-43.0167,147.3167,13.07,59,84,1.79,AU,1699909990
84,wailua homesteads,22.0669,-159.378,27.44,66,40,7.2,US,1699909990
85,vila franca do campo,37.7167,-25.4333,20.23,99,100,1.49,PT,1699909990
86,varva,50.495,32.7197,3.74,85,9,3.59,UA,1699909990
87,revda,56.801,59.9303,2.09,96,100,4.76,RU,1699909991
88,tonghae,37.5439,129.1069,2.77,48,89,3.42,KR,1699909991
89,talnakh,69.4865,88.3972,-12.66,91,100,6.58,RU,1699909991
90,tambacounda,13.7539,-13.7586,27.03,54,0,1.03,SN,1699909992
91,kruisfontein,-34.0033,24.7314,13.48,82,87,3.66,ZA,1699909992
92,sola,-13.8833,167.55,26.37,83,100,2.57,VU,1699909992
93,dompu,-8.5356,118.4622,24.76,95,94,0.44,ID,1699909993
94,kailua-kona,19.6406,-155.9956,28.61,80,75,3.6,US,1699909977
95,saipan,15.1355,145.701,28.39,78,20,6.69,MP,1699909993
96,santa barbara,34.7333,-120.0343,20.31,32,0,2.57,US,1699909993
97,college,64.8569,-147.8028,-3.85,92,100,1.42,US,1699909938
98,khandyga,62.6667,135.6,-32.88,100,63,1.07,RU,1699909993
99,tazovsky,67.4667,78.7,-17.39,92,6,4.83,RU,1699909994
100,la passe,45.5549,-0.8967,17.13,94,100,7.11,FR,1699909994
101,burela de cabo,43.65,-7.4,17.32,93,100,2.8,ES,1699909994
102,ingeniero guillermo n. juarez,-23.9,-61.85,20.71,77,100,5.63,AR,1699909994
103,hargeysa,9.56,44.065,19.49,72,88,4.24,SO,1699909994
104,huillapima,-28.7253,-65.9787,29.19,22,2,4.51,AR,1699909994
105,vel'sk,61.0701,42.0983,0.15,91,100,1.79,RU,1699909995
106,manokwari,-0.8667,134.0833,25.86,77,99,2.22,ID,1699909995
107,kachkanar,58.7,59.4948,1.49,98,100,2.9,RU,1699909995
108,port alfred,-33.5906,26.891,15.66,86,97,0.89,ZA,1699909995
109,jamestown,42.097,-79.2353,10.25,57,0,7.2,US,1699909753
110,san pedro,14.35,121.0167,26.77,88,100,2.68,PH,1699909995
111,longyearbyen,78.2186,15.6401,-10.09,67,75,3.6,SJ,1699909995
112,homer,59.6425,-151.5483,6.93,56,0,11.62,US,1699909996
113,acarau,-2.8856,-40.12,27.26,76,26,8.09,BR,1699909996
114,at taj,24.2049,23.2857,19.45,29,0,5.13,LY,1699909996
115,paramonga,-10.6667,-77.8333,21.62,77,89,5.09,PE,1699909996
116,al balyana,26.2357,32.0035,26.27,39,1,4.81,EG,1699909996
117,mount pearl,47.5166,-52.7813,0.08,81,100,2.57,CA,1699909996
118,tommot,58.9564,126.2925,-15.85,97,96,0.96,RU,1699909997
119,ust-nera,64.5667,143.2,-31.11,99,70,1.96,RU,1699909997
120,nemuro,43.3236,145.575,3.25,69,27,7.86,JP,1699909981
121,qaqortoq,60.7167,-46.0333,-5.93,96,100,1.11,GL,1699909997
